MIN_OR_RANGE_PCT,VOLUME_MULTIPLIER,CONFIRMATION_BARS,INITIAL_STOP_MULTIPLIER,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r_multiple,avg_or_range,avg_holding_time_hours,initial_capital,final_capital
0.001,1.5,1,0.5,17,2,15,0.11764705882352941,-328.38069813149775,-0.05882529203779996,4.9753868699996815,22.555431458099807,9.544739999998342,47.367529999997714,0.029411315728200424,0.1101590324125386,15.029186345019221,-0.9153332725157097,0.0,0.8333333333333335,100000,99941.1747079622
0.001,1.5,1,0.75,17,2,15,0.11764705882352941,-380.2746910689957,-0.08466346357531437,4.9753868699996815,26.01503098726634,9.544739999998342,63.30955499999959,0.02550006249558829,0.1101063120801396,15.028324556565781,-0.7904592062527959,0.0,0.9754901960784313,100000,99915.33653642469
0.001,1.5,1,1.0,17,2,15,0.11764705882352941,-411.12666825649467,-0.13154365086281905,4.9753868699996815,28.071829466432934,9.544739999998342,79.25157999999897,0.023631695140967003,0.1099969004352492,15.033269392107467,-0.6728653384102636,0.0,1.1519607843137254,100000,99868.45634913718
0.001,1.5,2,0.5,14,2,12,0.14285714285714285,-221.93992035235044,-0.0068758736419695194,4.980494370000656,19.32507575769598,9.554955000000291,33.98272890000021,0.042953642480265,0.09930025813749203,14.863305599999993,-0.8326644282501506,0.0,0.6726190476190477,100000,99993.12412635803
0.001,1.5,2,0.75,14,2,12,0.14285714285714285,-251.8934772273484,-0.022247143016953484,4.980494370000656,21.82120549727914,9.554955000000291,43.1928215499986,0.0380401712959264,0.0992662633250849,14.867947189401823,-0.7157636887807638,0.0,0.8095238095238095,100000,99977.75285698305
0.001,1.5,2,1.0,14,2,12,0.14285714285714285,-255.98410910234873,-0.06348133739198966,4.980494370000656,22.162091486862504,9.554955000000291,52.402914199999486,0.03745505677982491,0.0991521859815959,14.90582689733996,-0.5821827775059774,0.0,0.9940476190476192,100000,99936.51866260801
0.0015,1.0,1,0.5,12,3,9,0.25,-207.74987885435053,-0.10538280776566533,10.709693214167032,26.653217610761292,26.26238249999915,47.37061000000244,0.1339387157749511,0.09085240792914567,14.915781660120095,-0.76961747141105,0.0,1.3333333333333333,100000,99894.61719223433
0.0015,1.0,1,0.75,12,3,9,0.25,-233.40192902184333,-0.15693963384816015,10.709693214167032,29.503445407149382,26.26238249999915,63.31263499999932,0.12099935071280207,0.09069255068261735,14.972202041472007,-0.6215653994552156,0.0,1.7013888888888886,100000,99843.06036615184
0.0015,1.0,1,1.0,12,3,9,0.25,-271.0279296968489,-0.17941946522313812,10.709693214167032,33.684112148816666,26.26238249999915,79.2546600000012,0.10598164862662379,0.09063373207329989,15.00110992996668,-0.5708007452898641,0.0,2.2291666666666665,100000,99820.58053477686
0.0015,1.0,2,0.5,12,2,10,0.16666666666666666,-221.77287007519976,-0.0908087308898539,13.334208120000085,24.844128631519993,26.26238249999915,47.37061000000244,0.10734293255174056,0.091819704674196,14.901426254289888,-0.8148937692457174,0.0,1.1597222222222223,100000,99909.19126911015
0.0015,1.0,2,0.75,12,2,10,0.16666666666666666,-247.42492024269518,-0.14236555697233416,13.334208120000085,27.409333648269534,26.26238249999915,63.31263499999932,0.09729684268221478,0.09166517731329277,14.957847462286065,-0.6549155164504946,0.0,1.5277777777777777,100000,99857.63444302767
0.0015,1.0,2,1.0,12,2,10,0.16666666666666666,-283.2146032176976,-0.16668170604734042,13.334208120000085,30.988301945769773,26.26238249999915,79.2546600000012,0.08605962432749784,0.09159889727635578,14.987031542398293,-0.5921579346923999,0.0,1.9305555555555551,100000,99833.31829395266
0.0015,1.2,1,0.5,12,3,9,0.25,-222.86595129934813,-0.12149888021069637,5.670965714167285,26.653205382427775,11.146199999999908,47.37061000000244,0.07092287316289174,0.09173364427427066,14.931893651380726,-0.8086805368030373,0.0,1.1944444444444444,100000,99878.5011197893
0.0015,1.2,1,0.75,12,3,9,0.25,-248.51800146684093,-0.17305570629313297,5.670965714167285,29.503433178815865,11.146199999999908,63.31263499999932,0.06407125209006939,0.09157684270347019,14.988313108712253,-0.6497430148530513,0.0,1.5624999999999998,100000,99826.94429370687
0.0015,1.2,1,1.0,12,3,9,0.25,-286.1440021418465,-0.19553553766814002,5.670965714167285,33.68409992048315,11.146199999999908,79.2546600000012,0.05611911581977383,0.0915191922754382,15.017219777573462,-0.5928375130602326,0.0,2.0902777777777777,100000,99804.46446233186
